HCHO Reading,Location,Current Date,Next Date,HCHO Reading Z-Score,Year,Month
5.830909719406619e-05,Jaffna Proper,2019-01-01,1/2/2019,-0.7199577553809947,2019,1
0.000101795,Jaffna Proper,2019-01-02,1/3/2019,-0.099992800163531,2019,1
3.93133105404262e-05,Jaffna Proper,2019-01-03,1/4/2019,-0.9907747618624018,2019,1
-2.38e-06,Jaffna Proper,2019-01-04,1/5/2019,-1.585183288170749,2019,1
0.000158914,Jaffna Proper,2019-01-05,1/6/2019,0.7143349702658837,2019,1
7.539679629744287e-05,Jaffna Proper,2019-01-06,1/7/2019,-0.4763437580662406,2019,1
0.000179924,Jaffna Proper,2019-01-07,1/8/2019,1.0138679882935455,2019,1
9.470708011674723e-05,Jaffna Proper,2019-01-08,1/9/2019,-0.20104306356995513,2019,1
2.109364950895559e-06,Jaffna Proper,2019-01-09,1/10/2019,-1.5211798120751112,2019,1
0.000131897,Jaffna Proper,2019-01-10,1/11/2019,0.32916202652226945,2019,1
0.000133702,Jaffna Proper,2019-01-11,1/12/2019,0.3548953486326899,2019,1
5.9570030841276426e-05,Jaffna Proper,2019-01-12,1/13/2019,-0.7019810175951067,2019,1
2.010835129084908e-05,Jaffna Proper,2019-01-14,1/15/2019,-1.2645738768135721,2019,1
3.94847944175773e-05,Jaffna Proper,2019-01-15,1/16/2019,-0.9883299697031369,2019,1
6.686277882732807e-05,Jaffna Proper,2019-01-16,1/17/2019,-0.5980105838027602,2019,1
5.18184452543004e-05,Jaffna Proper,2019-01-17,1/18/2019,-0.8124929559752424,2019,1
9.154995885051224e-05,Jaffna Proper,2019-01-18,1/19/2019,-0.24605315691382376,2019,1
1.707625620314082e-05,Jaffna Proper,2019-01-19,1/20/2019,-1.3078015109196217,2019,1
0.000184068,Jaffna Proper,2019-01-21,1/22/2019,1.0729477039863882,2019,1
9.561663077100936e-05,Jaffna Proper,2019-01-22,1/23/2019,-0.18807588353567772,2019,1
0.000100376,Jaffna Proper,2019-01-23,1/24/2019,-0.12022304064812168,2019,1
7.40591053869194e-05,Jaffna Proper,2019-01-24,1/25/2019,-0.4954148002184189,2019,1
8.133567760369957e-05,Jaffna Proper,2019-01-25,1/26/2019,-0.3916749793241591,2019,1
7.100806903845069e-05,Jaffna Proper,2019-01-26,1/27/2019,-0.5389124739722946,2019,1
0.000157583,Jaffna Proper,2019-01-27,1/28/2019,0.6953593183384772,2019,1
0.000155925,Jaffna Proper,2019-01-28,1/29/2019,0.67172172938608,2019,1
0.000156507,Jaffna Proper,2019-01-29,1/30/2019,0.6800191218892737,2019,1
